Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,% Imputed
2018,TELEPERFORMANCE SE,France,Activities auxiliary to financial intermediation (67),-1.09%,-10.05%,"(5,52,32,974)","(4,85,90,497)","(11,456)","(6,46,758)","(1,51,520)","(2,061)","(3,661)","(58,28,063)","1,042",2%
2018,SGS SA,Switzerland,Activities auxiliary to financial intermediation (67),-0.81%,-5.31%,"(5,51,43,250)","(5,07,27,341)","(11,763)","(6,73,791)","(1,57,783)","(2,131)","(3,489)","(35,67,524)",571,0%
2018,INTERTEK GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-1.53%,-9.38%,"(5,46,77,862)","(5,34,89,006)","(12,428)","(7,11,263)","(1,66,744)","(2,244)","(3,428)","(2,93,207)",458,1%
2018,APPLUS SERVICES SA,Spain,Activities auxiliary to financial intermediation (67),-2.26%,-35.02%,"(4,32,98,590)","(1,89,12,678)","(4,652)","(2,49,594)","(58,535)",(811),"(3,850)","(2,40,69,048)",578,2%
2018,BUREAU VERITAS SA,France,Activities auxiliary to financial intermediation (67),-0.56%,-4.40%,"(3,08,62,191)","(3,01,89,038)","(7,276)","(4,02,067)","(94,143)","(1,298)","(3,953)","(1,65,542)","1,126",3%
2018,THOMSON REUTERS CORP,Canada,Activities auxiliary to financial intermediation (67),-0.55%,-4.08%,"(3,04,20,679)","(2,49,69,269)","(7,800)","(3,39,439)","(79,427)","(1,281)","(1,94,781)","(48,35,062)","6,380",6%
2018,SAGA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-2.59%,-11.19%,"(2,83,71,092)","(2,77,54,833)","(6,407)","(3,69,092)","(86,530)","(1,161)","(1,053)","(1,52,156)",140,1%
2018,RELX PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.26%,-1.02%,"(2,52,05,768)","(2,39,29,648)","(5,996)","(3,17,928)","(74,511)","(1,044)","(9,169)","(8,68,695)","1,224",5%
2018,CHINA PACIFIC INSURANCE (GROUP) COMPANY LIMITED,China,Activities auxiliary to financial intermediation (67),-0.04%,-0.48%,"(2,22,28,620)","(2,17,14,912)","(4,476)","(2,64,529)","(60,836)",(820),"(74,336)","(1,06,967)","(1,743)",19%
2018,RANDSTAD NV,Netherlands,Activities auxiliary to financial intermediation (67),-0.08%,-2.03%,"(2,11,21,606)","(2,00,63,296)","(6,617)","(2,61,507)","(60,285)","(1,064)","(30,725)","(7,04,473)","6,361",15%
2018,DKSH HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),-0.18%,-8.64%,"(2,08,48,307)","(1,98,32,721)","(4,810)","(2,62,305)","(61,183)",(858),"(5,902)","(6,81,495)",967,1%
2018,CAPITA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.40%,-4.21%,"(1,98,69,242)","(1,94,34,235)","(4,718)","(2,58,297)","(60,543)",(834),"(4,795)","(1,06,459)",640,3%
2018,STANTEC INCORPORATED,Canada,Activities auxiliary to financial intermediation (67),-0.58%,-7.66%,"(1,43,60,819)","(1,19,07,570)","(3,657)","(1,61,655)","(37,831)",(604),"(87,064)","(21,65,290)","2,852",5%
2018,VIENNA INSURANCE GROUP,Austria,Activities auxiliary to financial intermediation (67),-0.10%,-2.98%,"(1,12,54,420)","(1,10,19,670)","(2,731)","(1,38,899)","(32,334)",(472),"(3,913)","(56,846)",446,1%
2018,EXPERIAN PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.24%,-0.99%,"(1,11,61,024)","(1,09,16,123)","(2,687)","(1,45,061)","(34,000)",(472),"(3,343)","(59,784)",446,4%
2018,WOLTERS KLUWER NV,Netherlands,Activities auxiliary to financial intermediation (67),-0.19%,-0.95%,"(91,87,758)","(87,38,222)","(2,361)","(1,15,262)","(26,840)",(405),"(5,497)","(3,00,310)","1,138",8%
2018,S&P GLOBAL INC,United States,Activities auxiliary to financial intermediation (67),-0.13%,-0.28%,"(79,06,752)","(77,31,902)","(2,598)","(1,03,021)","(24,018)",(414),"(5,059)","(42,213)","2,473",19%
2018,LONDON STOCK EXCHANGE GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.23%,-0.67%,"(61,37,010)","(59,80,297)","(1,517)","(79,442)","(18,618)",(263),"(2,613)","(54,609)",349,6%
2018,HONG KONG EXCHANGES AND CLEARING LIMITED,Hong Kong,Activities auxiliary to financial intermediation (67),-0.30%,-0.46%,"(55,29,594)","(54,08,517)","(1,363)","(71,163)","(16,659)",(235),"(2,612)","(29,292)",246,4%
2018,RICARDO PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-1.13%,-11.83%,"(54,58,667)","(53,39,876)","(1,248)","(71,002)","(16,645)",(225),(465),"(29,269)",62,1%
