YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202104,156920,948472,1,36.38,"SSE","EDGEWATER",28.54,-80.57,2832400,8034200
202104,156920,948473,1,3.57,"WSW","CAPE CANAVERAL",28.3587,-80.6535,2821522,8039210
202104,156920,948475,1,2.8,"WNW","MELBOURNE",28.1,-80.64,286000,8038400
202104,156920,948476,1,11.2,"N","CAPE CANAVERAL",28.54,-80.57,2832400,8034200
202104,156920,948477,1,1.4,"ESE","VALKARIA",27.96,-80.53,2757600,8031800
202104,156920,948479,1,10.23,"E","VERO BEACH",27.6551,-80.4053,2739306,8024318
202104,156920,948480,1,0,"N","BUOY 41009",28.52,-80.17,2831200,8010200
202104,156920,948481,1,5.35,"ESE","SEBASTIAN INLET",27.8162,-80.4912,2748972,8029472
202104,156920,948483,1,.61,"E","ST. LUCIE NUCLEAR POWER PLANT",27.35,-80.24,2721000,8014400
202104,156920,948485,1,1.41,"ENE","FT. PIERCE INLET",27.46,-80.3,2727600,8018000
202104,156920,948486,1,3.37,"ENE","STUART",27.22,-80.2,2713200,8012000
202104,156920,948487,1,3.37,"ENE","STUART",27.22,-80.2,2713200,8012000
202104,156920,948489,1,2.3,"SE","STUART",27.18,-80.22,2710800,8013200
202104,156920,948491,1,4.61,"SE","STUART",27.16,-80.19,279600,8011400
202104,156920,948492,1,7.56,"NNW","TEQUESTA",27.06,-80.14,273600,808400
202104,156925,948457,1,.57,"W","PAGELAND",34.77,-80.39,3446200,8023400
202104,156931,948803,1,.61,"W","FAIRVILLA",28.58,-81.39,2834800,8123400
202104,156931,948805,1,.61,"W","WINTER PARK",28.6,-81.34,2836000,8120400
202104,156931,948807,1,1.21,"E","MAITLAND",28.63,-81.35,2837800,8121000
202104,156931,948810,1,1.51,"NNE","GOLDEN ROD",28.62,-81.29,2837200,8117400
202104,156931,948815,1,1.21,"W","GABRIELLA",28.62,-81.27,2837200,8116200
202104,156931,948831,1,1.38,"N","GABRIELLA",28.64,-81.25,2838400,8115000
